rainfall_mm,avg_temperature_c,soil_type,humidity_percent,area_hectares,crop_type,yield_tons
1200.5,25.5,Alluvial,80,10.5,Rice,42.5
800.2,18.2,Black,60,15.0,Wheat,35.0
1500.0,30.0,Red,85,5.2,Sugarcane,120.0
600.0,32.0,Desert,40,20.0,Cotton,25.0
900.5,24.0,Alluvial,70,12.5,Maize,40.0
400.0,22.0,Laterite,50,8.0,Pulses,15.0
1100.0,26.0,Alluvial,75,11.0,Rice,45.0
850.0,19.0,Black,65,14.5,Wheat,32.0
1400.0,29.0,Red,80,6.0,Sugarcane,110.0
650.0,31.0,Desert,45,18.0,Cotton,22.0
950.0,25.0,Alluvial,72,13.0,Maize,44.0
450.0,23.0,Laterite,55,9.0,Pulses,18.0
1250.0,24.5,Alluvial,82,10.0,Rice,41.0
780.0,17.5,Black,58,16.0,Wheat,36.5
1550.0,31.0,Red,88,5.0,Sugarcane,125.0
580.0,33.0,Desert,38,21.0,Cotton,27.0
890.0,23.5,Alluvial,68,12.0,Maize,38.5
410.0,21.5,Laterite,52,7.5,Pulses,14.0
1180.0,25.8,Alluvial,78,10.8,Rice,43.2
820.0,18.5,Black,62,15.5,Wheat,34.2
1480.0,29.5,Red,83,5.5,Sugarcane,115.0
620.0,31.5,Desert,42,19.5,Cotton,24.5
920.0,24.5,Alluvial,71,12.8,Maize,41.5
430.0,22.5,Laterite,54,8.5,Pulses,16.5
1220.0,25.3,Alluvial,81,10.3,Rice,42.8
790.0,18.0,Black,59,15.8,Wheat,35.8
1520.0,30.5,Red,86,5.3,Sugarcane,122.5
610.0,32.5,Desert,41,20.5,Cotton,26.5
910.0,24.3,Alluvial,70,12.4,Maize,39.5
420.0,21.8,Laterite,51,7.8,Pulses,14.5
